PeopleID	FullName	WikipediaURL	VIAFURL	KnowledgeNetwork	SocialNetwork	ProfessionalNetwork	ReligiousNetwork	Gender	Nationality
shiplwilli004330	William Shipley		http://viaf.org/95810453/			Artist		Male	English
shipmthoma004578	Thomas Shipman		http://viaf.org/34801315/	Letters_Literary	Military	Artist, Cultural		Male	English
shippen000003142	— Shippen							Male	unknown
shortricha025674	Richard Shortgrave					Other, Artisan		Male	English
shovegeorg025675	Rev. George Shove				Elite		Clergy	Male	American
showejohn0005568	Rev. John Shower						Clergy	Male	English
shutejohn0004864	John Shute Barrington, 1st Viscount Barrington		http://viaf.org/19722188/		Government	Finance-banking		Male	English
shuvaandre003146	Count Andrei Petrovich Shuvalov			Letters_Literary	Government			Male	Russian
shuvaivani022967	Count Ivan Ivanovich Shuvalov		http://viaf.org/294820816/		Elite, Government			Male	Russian
shuvakater002129	Countess Katerina Petrovna Shuvalova							Female	Russian
sibbajames003997	James Sibbald							Male	Scottish
sibelcaspa003149	Caspar Sibelius					Medical		Male	Dutch
sican00000005548	Mrs — Sican			Letters_Literary		Artist		Female	Irish
sicanjohn0005569	John Sican					Medical		Male	Irish
siddowilli005262	William Siddons		http://viaf.org/71199742/			Artist		Male	English
sieyeemman023930	Emmanuel Joseph Sieyès	http://en.wikipedia.org/wiki/Emmanuel-Joseph_Sieyès	http://viaf.org/59101071/	Political economy				Male	French
signyjean0003152	Jean Signy					Artist		Male	French
sigorpierr023107	Pierre Sigorgne		http://viaf.org/36950642/	Sciences			Clergy	Male	French
silhoetien023106	Étienne de Silhouette	http://en.wikipedia.org/wiki/Étienne_de_Silhouette	http://viaf.org/14813840/					Male	French
silhojean0004279	Jean de Silhon			Letters_Religious	Government			Male	French
